JAMES	3.318	4,840,833	1
JOHN	3.271	4,772,262	2
ROBERT	3.143	4,585,515	3
MICHAEL	2.629	3,835,609	4
WILLIAM	2.451	3,575,914	5
DAVID	2.363	3,447,525	6
RICHARD	1.703	2,484,611	7
CHARLES	1.523	2,221,998	8
JOSEPH	1.404	2,048,382	9
THOMAS	1.38	2,013,366	10
CHRISTOPHER	1.035	1,510,025	11
DANIEL	0.974	1,421,028	12
PAUL	0.948	1,383,095	13
MARK	0.938	1,368,506	14
DONALD	0.931	1,358,293	15
GEORGE	0.927	1,352,457	16
KENNETH	0.826	1,205,102	17
STEVEN	0.78	1,137,990	18
EDWARD	0.779	1,136,531	19
BRIAN	0.736	1,073,795	20
RONALD	0.725	1,057,747	21
ANTHONY	0.721	1,051,911	22
KEVIN	0.671	978,963	23
JASON	0.66	962,914	24
MATTHEW	0.657	958,538	25
GARY	0.65	948,325	26
TIMOTHY	0.64	933,735	27
JOSE	0.613	894,343	28
LARRY	0.598	872,459	29
JEFFREY	0.591	862,246	30
FRANK	0.581	847,656	31
SCOTT	0.546	796,593	32
ERIC	0.544	793,675	33
STEPHEN	0.54	787,839	34
ANDREW	0.537	783,462	35
RAYMOND	0.488	711,973	36
GREGORY	0.441	643,402	37
JOSHUA	0.435	634,648	38
JERRY	0.432	630,271	39
DENNIS	0.415	605,469	40
WALTER	0.399	582,126	41
PATRICK	0.389	567,536	42
PETER	0.381	555,864	43
HAROLD	0.371	541,275	44
DOUGLAS	0.367	535,439	45
HENRY	0.365	532,521	46
CARL	0.346	504,801	47
ARTHUR	0.335	488,752	48
RYAN	0.328	478,539	49
ROGER	0.322	469,786	50
JOE	0.321	468,327	51
JUAN	0.316	461,032	52
JACK	0.315	459,573	53
ALBERT	0.314	458,114	54
JONATHAN	0.313	456,655	55
JUSTIN	0.311	453,737	56
TERRY	0.311	453,737	57
GERALD	0.309	450,819	58
KEITH	0.308	449,360	59
SAMUEL	0.306	446,442	60
WILLIE	0.302	440,606	61
RALPH	0.282	411,427	62
LAWRENCE	0.282	411,427	63
NICHOLAS	0.275	401,214	64
ROY	0.273	398,296	65
BENJAMIN	0.27	393,920	66
BRUCE	0.263	383,707	67
BRANDON	0.26	379,330	68
ADAM	0.259	377,871	69
HARRY	0.251	366,199	70
FRED	0.251	366,199	71
WAYNE	0.249	363,281	72
BILLY	0.248	361,822	73
STEVE	0.246	358,904	74
LOUIS	0.243	354,528	75
JEREMY	0.242	353,069	76
AARON	0.24	350,151	77
RANDY	0.232	338,479	78
HOWARD	0.23	335,561	79
EUGENE	0.23	335,561	80
CARLOS	0.229	334,102	81
RUSSELL	0.224	326,807	82
BOBBY	0.223	325,348	83
VICTOR	0.222	323,889	84
MARTIN	0.216	315,136	85
ERNEST	0.215	313,677	86
PHILLIP	0.213	310,759	87
TODD	0.213	310,759	88
JESSE	0.209	304,923	89
CRAIG	0.206	300,546	90
ALAN	0.204	297,628	91
SHAWN	0.2	291,792	92
CLARENCE	0.197	287,415	93
SEAN	0.197	287,415	94
PHILIP	0.197	287,415	95
CHRIS	0.197	287,415	96
JOHNNY	0.195	284,497	97
EARL	0.193	281,580	98
JIMMY	0.191	278,662	99
ANTONIO	0.19	277,203	100
